true_eta,scheme,prior_family,prior_strength,eta,posterior_weight
0.0,aggregate_monthly,spike_slab,moderate,0.5,0.04411105152748177
0.0,aggregate_monthly,spike_slab,moderate,0.75,0.08749887921671042
0.0,aggregate_monthly,spike_slab,moderate,1.0,0.015286988250778616
0.0,aggregate_monthly,spike_slab,moderate,1.25,0.05054247847175842
0.0,aggregate_monthly,spike_slab,moderate,1.5,0.03265744077254676
0.0,aggregate_monthly,spike_slab,moderate,1.75,0.0007595257554182078
0.0,aggregate_monthly,spike_slab,moderate,2.0,0.0099338195582157
0.0,aggregate_monthly,spike_slab,moderate,2.25,0.02052186781374882
0.0,aggregate_monthly,spike_slab,moderate,2.5,0.023705471910953454
0.0,aggregate_monthly,spike_slab,moderate,2.75,0.00872083879180885
0.0,aggregate_monthly,spike_slab,moderate,3.0,0.033348922969286064
0.0,aggregate_monthly,spike_slab,moderate,3.25,0.0017100289488025777
0.0,aggregate_monthly,spike_slab,moderate,3.5,0.022220881300482522
0.0,aggregate_monthly,spike_slab,strong,0.0,0.7622410758266193
0.0,aggregate_monthly,spike_slab,strong,0.25,0.022094102829400993
0.0,aggregate_monthly,spike_slab,strong,0.5,0.018919864902381567
0.0,aggregate_monthly,spike_slab,strong,0.75,0.03688175799252626
0.0,aggregate_monthly,spike_slab,strong,1.0,0.009932237514181196
0.0,aggregate_monthly,spike_slab,strong,1.25,0.02150233020360252
0.0,aggregate_monthly,spike_slab,strong,1.5,0.03264906156642513
0.0,aggregate_monthly,spike_slab,strong,1.75,0.000755763074439654
0.0,aggregate_monthly,spike_slab,strong,2.0,0.006600034821290673
0.0,aggregate_monthly,spike_slab,strong,2.25,0.010619833283636334
0.0,aggregate_monthly,spike_slab,strong,2.5,0.01359116724048791
